initial_reset_time,episode_rewards,episode_lengths,episode_end_times
0,270.0,3915,4.3947553634643555
0,270.0,3915,4.3947553634643555
0,280.0,2739,7.016677618026733
0,280.0,2973,9.840618371963501
0,170.0,2393,12.088396310806274
0,180.0,2803,14.713187456130981
0,190.0,2561,17.120258331298828
0,150.0,2201,19.23999786376953
0,290.0,2945,22.06709933280945
0,270.0,2717,24.699297189712524
0,200.0,2469,27.05535626411438
0,170.0,2651,29.61197590827942
0,160.0,3019,32.50082850456238
0,240.0,2559,34.9237847328186
0,200.0,2675,37.491583824157715
0,140.0,2447,39.80765986442566
0,220.0,2889,42.54480981826782
0,170.0,2743,45.10445237159729
0,250.0,2429,47.42296814918518
0,160.0,2183,51.987932205200195
0,210.0,2473,54.33585739135742
0,730.0,3569,57.743589639663696
0,120.0,2455,60.12938690185547
0,160.0,3059,63.211459159851074
0,110.0,2187,65.32028317451477
0,90.0,2449,67.62838459014893
0,130.0,2549,70.07657074928284
0,250.0,3131,73.14618158340454
0,810.0,4455,77.48896622657776
0,160.0,2201,79.5801727771759
0,210.0,2441,82.00823259353638
0,60.0,2197,84.13697504997253
0,170.0,2541,86.55983304977417
0,160.0,2793,89.196781873703
0,150.0,3037,92.2147433757782
0,250.0,2555,94.67064046859741
0,290.0,3865,98.29924035072327
0,330.0,3647,101.72097539901733
0,270.0,2923,104.5071976184845
0,100.0,2763,107.12519812583923
0,310.0,2713,109.68344783782959
0,890.0,3697,113.24651002883911
0,170.0,2669,115.76624941825867
0,130.0,2409,118.07218074798584
0,160.0,2065,120.03427171707153
0,210.0,3077,122.98278594017029
0,260.0,2959,125.75989484786987
0,120.0,2975,128.58877158164978
0,210.0,2401,130.82562375068665
0,180.0,2937,133.66743421554565
